month,climate
2014-01,22
2014-02,23
2014-03,21
2014-04,22
2014-05,22
2014-06,13
2014-07,12
2014-08,12
2014-09,24
2014-10,22
2014-11,24
2014-12,21
2015-01,24
2015-02,26
2015-03,25
2015-04,24
2015-05,25
2015-06,17
2015-07,12
2015-08,14
2015-09,23
2015-10,26
2015-11,27
2015-12,27
2016-01,25
2016-02,23
2016-03,25
2016-04,26
2016-05,25
2016-06,16
2016-07,13
2016-08,15
2016-09,21
2016-10,23
2016-11,29
2016-12,48
2017-01,64
2017-02,60
2017-03,58
2017-04,42
2017-05,32
2017-06,32
2017-07,18
2017-08,22
2017-09,30
2017-10,29
2017-11,28
2017-12,30
2018-01,36
2018-02,34
2018-03,35
2018-04,33
2018-05,31
2018-06,20
2018-07,39
2018-08,51
2018-09,60
2018-10,63
2018-11,67
2018-12,66
2019-01,77
2019-02,90
2019-03,62
2019-04,50
2019-05,52
2019-06,39
2019-07,31
2019-08,33
2019-09,59
2019-10,76
2019-11,88
2019-12,84
2020-01,82
2020-02,88
2020-03,75
2020-04,65
2020-05,67
2020-06,61
2020-07,54
2020-08,60
2020-09,71
2020-10,64
2020-11,64
2020-12,71
2021-01,78
2021-02,100
2021-03,72
2021-04,69
2021-05,65
2021-06,57
2021-07,51
2021-08,48
2021-09,50
2021-10,59
2021-11,55
2021-12,64
2022-01,71
2022-02,69
2022-03,64
2022-04,71
2022-05,63
2022-06,52
2022-07,49
2022-08,51
2022-09,56
2022-10,53
2022-11,69
2022-12,75
2023-01,73
2023-02,71
2023-03,73
2023-04,89
2023-05,62
2023-06,52
2023-07,48
2023-08,55
2023-09,60
2023-10,65
2023-11,67
2023-12,61
